sira,score,tipadi,daire,esasno,esasyil,kararno,karartarihi,kaynak_arama,sinyaller,konu,metin_ozet
337,27.6,Yargıtay,10,8204,2021,14269,2021-11-16,gebe+illiyet,gebe×2 | travma×27 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... Bölge Adliye Mahkemesi... Hukuk Dairesi Dava, iş kazası ölümünden kaynaklanan maddi ve manevi tazminat istemlerine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davacı ve davalı ... Enerji Metal İnş. Taah. San. v"
338,27.6,Danıştay,15,9511,2013,3873,2018-04-17,gebe+illiyet,gebe×34 | travma×3 | illiyet×9 | cenin/düşük,İŞLEMİN İPTALİ İSTEMİ - İDARE MAHKEMESİNCE REDDEDİLEN MADDİ TAZMİNAT MİKTARI İÇİN DAVALI İDARE LEHİNE MAKTU VEKALET ÜCRETİNE HÜKMEDİLMESİ GEREKTİĞİ - DAVALI İDARE LEHİNE NİSPİ VEKALET ÜCRETİNE HÜKMEDİ,"(AİHS m. 6) (2709 S. K. m. 90) (1136 S. K. m. 168) &nbsp; İstemin Özeti: Kayseri 2. İdare Mahkemesi&#39;nin 26/02/2013 tarih ve E:2009/689; K:2013/182 sayılı kararının hukuka uygun olmadığı ileri sürülerek temyizen incelenerek bozulması istenilmektedir. &nbsp; Savunmanın Özeti: Temyiz isteminin redd"
339,27.6,Yargıtay,21,16618,2016,683,2017-02-07,gebe+illiyet,gebe×2 | travma×18 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacı, murisinin iş kazası sonucu ölümünden doğan manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin reddine karar vermiştir. Hükmün davacılar vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süresinde olduğu "
340,27.6,Yargıtay,21,13159,2016,1347,2018-02-19,gebe+illiyet,gebe×2 | travma×21 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:Asliye Hukuk Mahkemesi Davacılar, iş kazası sonucu maluliyetten doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin reddine karar vermiştir. Hükmün, davacılar vekili tarafından temyiz edilmesi üzerine temyiz isteğinin s"
341,27.6,Yargıtay,21,15381,2016,2894,2018-03-27,gebe+illiyet,gebe×2 | travma×13 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ:İş Mahkemesi Davacı, iş kazası sonucu maluliyetinden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün davalı vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süresind"
342,27.6,Yargıtay,10,5161,2021,11266,2022-09-27,gebe+illiyet,gebe×2 | travma×15 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: ... 3. İş Mahkemesi Dava, İş kazasından kaynaklanan maddi ve manevi tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kısmen kabulüne dair verilen karara karşı davalılar vekilleri tarafından istinaf yoluna başvurulması üzerine, ... Bölge Adliye"
343,27.6,Yargıtay,21,3003,2016,6212,2017-09-12,gebe+illiyet,gebe×2 | travma×17 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ :İş Mahkemesi Davacı, iş kazası sonucu maluliyetinden doğan maddi ve manevi tazminatın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin kısmen kabulüne karar vermiştir. Hükmün, davacı vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süresi"
344,27.5,Yargıtay,CG,106,2018,367,2022-05-18,gebe+travma,gebe×1 | travma×176 | illiyet×19 | künt/batın | trafik/iş kaz,YARGITAY KARARI,"Yargıtay Dairesi : 1. Ceza Dairesi Suça sürüklenen çocuk : ... Suça sürüklenen çocuk ... hakkında kasten öldürme, sanıklar ..., ... ve ... hakkında kasten öldürme suçuna yardım etmeden açılan kamu davalarında yapılan yargılama sonucunda, suça sürüklenen çocuğun TCK'nın 81/1, 29, 31/3, 62 ve 63. madd"
345,27.5,Yargıtay,CG,86,2020,211,2022-03-24,gebe+illiyet,gebe×3 | travma×119 | illiyet×10 | TCK 87/88,YARGITAY KARARI,Yargıtay Dairesi: 1. Ceza Dairesi Sanıklar ... ve ...'in ...’a yönelik eylemleri nedeniyle TCK’nın 38/1 maddesi delaletiyle 82/1-h ve 53. maddeleri uyarınca ayrı ayrı iki kez ağırlaştırılmış müebbet hapis cezasıyla cezalandırılmalarına ve hak yoksunluklarına ilişkin ... 11. Ağır Ceza Mahkemesince 06
346,27.5,Yargıtay,CG,9-169,2006,184,2006-07-11,gebe+travma,gebe×3 | travma×13 | illiyet×17 | TCK 87/88,HRANT DİNK DAVASI - TÜRKLÜĞÜ BASIN YOLUYLA TAHKİR VE TEZYİF SUÇU - MAKALE VE MAKALE DİZİSİNDEKİ İBARELERİN İFADE ÖZGÜRLÜĞÜ KAPSAMINDA İNCELENMESİ - İFADE ÖZGÜRLÜĞÜNÜN ULUSAL VE ULUSLAR ARASI HUKUK NOR,"(765 S. K. m. 159) (5680 S. K. m. 16) (5237 S. K. m. 7) (5187 S. K. m. 11) (647 S. K. m. 4, 6) (2709 S. K. m. 25, 26, 28, 66) Dava: Türklüğü basın yoluyla tahkir ve tezyif etmek suçundan, sanıkların 5680 SY. 16/1. maddesi yollaması ile TCY'nın 159/1. maddesi uyarınca ayrı ayrı cezalandırılmaları ist"
347,27.4,Danıştay,10,5454,2019,1592,2022-03-23,gebe+illiyet,gebe×33 | travma×4 | illiyet×10 | TCK 87/88,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y ONUNCU DAİRE Esas No : 2019/5454 KararNo : 2022/1592 TEMYİZ EDEN (DAVACILAR): Kendi adlarına asaleten, ... 'ya velayeten ... ve ... VEKİLLERİ: Av. ... TEMYİZ EDEN (DAVALI): ... Bakanlığı / ANKARA (Mülga ... Kurumu) VEKİLLERİ: Hukuk Müşaviri Av. ... Av. ... / Aynı yerde İSTEMLERİ"
348,27.4,Yargıtay,CG,220,2020,632,2021-12-14,gebe+travma,gebe×10 | travma×37 | illiyet×7 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: (Kapatılan)14. Ceza Dairesi Beden veya ruh sağlığını bozacak şekilde çocuğun nitelikli cinsel istismarı suçundan sanık ...'nin TCK’nın 103/1-a maddesi delaletiyle 103/2, 103/6, 53 ve 63. maddeleri uyarınca 15 yıl hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve"
349,27.2,Yargıtay,4,21164,2021,2426,2023-02-23,gebe+travma,gebe×4 | travma×2 | illiyet×5 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 4. Hukuk Dairesi SAYISI: 2019/854 E., 2021/1437 K. HÜKÜM/KARAR: İstinaf Başvurusunun Kabulü ile Davanın Reddine İLK DERECE MAHKEMESİ: Turgutlu 1. Asliye Hukuk Mahkemesi SAYISI: 2018/9 E., 2018/826 K. Taraflar arasındaki basın yoluyla kişilik haklarının ihlali "
350,27.2,Yargıtay,8,207,2018,6390,2018-06-04,gebe+travma,gebe×8 | travma×36 | illiyet×1 | cenin/düşük | künt/batın,İŞKENCE SUÇU - SANIKLARIN EYLEMLERİNİN İŞKENCE YAPMAK SUÇUNU OLUŞTURDUĞUNA KARAR VEREN MAHKEMENİN DELİLLERİ TAKDİR VE DEĞERLENDİRMESİ İLE SUÇ VASFININ TAYİNİNDE BİR İSABETSİZLİK BULUNMADIĞI - HÜKMÜN O,"(AİHS m. 3) (2709 S. K. m. 17) (5237 S. K. m. 94, 256) &nbsp; Dava: Gereği görüşülüp düşünüldü: &nbsp; İşkence, ulusal hukukta olduğu gibi uluslararası sözleşmelerle de yasaklanmıştır. T.C. Anayasası&#39;nın 17. maddesinde herkesin, yaşama, maddi ve manevi varlığını koruma ve geliştirme hakkına sahi"
351,27.1,Yargıtay,10,3230,2022,9949,2022-06-28,gebe+illiyet,gebe×1 | travma×12 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi: Samsun Bölge Adliye Mahkemesi 8. Hukuk Dairesi İlk Derece Mahkemesi: Samsun 3. İş Mahkemesi Dava, rücuan tazminat istemine ilişkindir. İlk Derece Mahkemesince, hükümde belirtilen gerekçelerle davanın kabulüne dair verilen karara karşı taraflarca istinaf yoluna başvurulması üzerine, Samsun"
352,27.1,Danıştay,1,1718,2018,1571,2018-10-09,gebe+illiyet,gebe×9 | travma×3 | illiyet×9 | cenin/düşük,MEN-İ MUHAKEMEDEN DOĞAN DAVA - KANAMA YAKINMASIYLA BAŞVURDUĞUNDA ŞİKAYETÇİNİN SAĞLIK DURUMUNUN TEŞHİSİ TAKİBİ VE TEDAVİSİNDE ACEMİLİK TEDBİRSİZLİK DİKKATSİZLİK İHMAL VEYA HATA BULUNUP BULUNMADIĞI - HÜ,"(2547 S. K. &nbsp;m. 53) &nbsp; Niğde Ömer Halisdemir Üniversitesi Rektörlüğünün 2.8.2018 tarih ve 782 sayılı yazısı ekinde gönderilen soruşturma dosyası ve yukarıda belirtilen Kurul kararı ile bu karara yapılan itiraz, Tetkik Hakimi &hellip;..&#39;in açıklamaları dinlenildikten sonra, 2547 sayılı Y"
353,27,Anayasa,1,7537,2016,,2022-05-11,gebe+illiyet,gebe×2 | travma×21 | illiyet×11 | TCK 87/88,ANAYASA MAHKEMESİNİN 11/5/2022 TARİHLİ VE 2016/7537 SAYILI KARARI (BİREYSEL BAŞVURU),"(AİHM m. 3) (2709 S. K. m. 17, 34, 36) (2911 S. K. m. 22) (2559 S. K. m. 16) (5237 S. K. m. 24, 27, 86, 87, 89) (6216 S. K. m. 50) (OYA ATAMAN - TÜRKİYE DAVASI) (ALİ GÜNEŞ - TÜRKİYE DAVASI) (LABITA - İTALYA DAVASI) (ÇELİK VE İMRET - TÜRKİYE DAVASI) (SAÇILIK VE DİĞERLERİ - TÜRKİYE DAVASI) (ANY. MAH. "
354,27,Anayasa,1,10568,2016,,2020-03-10,gebe+illiyet,gebe×2 | travma×11 | illiyet×11 | TCK 87/88,ANAYASA MAHKEMESİNİN 10/3/2020 TARİHLİ VE 2016/10568 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(AİHS m. 6) (2709 S. K. m. 13, 36, 40, 125, 129) (6216 S. K. m. 50) (1602 S. K. m. 43) (657 S. K. m. 13) (Anayasa Mahkemesi İçtüzüğü m. 71, 79) (ANY. MAH. 10.10.2019 T. 2016/12354 E.) (ANY. MAH. 02.10.2013 T. 2013/1718 E.) (ANY. MAH. 07.11.2013 T. 2012/660 E.) (ANY. MAH. 25.07.2017 T. 2014/6673 E.) "
355,27,Yargıtay,CG,446,2020,230,2021-06-01,gebe+illiyet,gebe×2 | travma×95 | illiyet×11 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Sanık ... hakkında kasten öldürme suçundan açılan kamu davasında yapılan yargılama sonucunda, eylemin kasten yaralama sonucu ölüme neden olma suçunu oluşturduğu kabul edilerek sanığın TCK'nın 87/4, 29/1, 62/1, 53/1-2-3, 63 ve 54/1. m"
356,27,Danıştay,4,5588,2020,2551,2023-05-09,gebe+illiyet,gebe×2 | travma×10 | illiyet×12 | TCK 87/88,DANIŞTAY KARARI,"T.C. D A N I Ş T A Y DÖRDÜNCÜ DAİRE Esas No : 2020/5588 KararNo : 2023/2551 TEMYİZ EDEN (DAVALI): … Vergi Dairesi Başkanlığı VEKİLİ: Av. … KARŞI TARAF (DAVACI): ... İSTEMİN KONUSU: … Bölge İdare Mahkemesi ... Vergi Dava Dairesinin … tarih ve E:…, K:… sayılı kararının temyizen incelenerek bozulması i"
357,27,Yargıtay,CG,381,2020,512,2020-12-10,gebe+illiyet,gebe×2 | travma×103 | illiyet×16 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı: 300-296 Kasten yaralama sonucu ölüme neden olma suçundan sanık ...'nın TCK'nın 87/4-2. cümle, 62, 53 ve 63. maddeleri uyarınca 10 yıl hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin Malatya 3. Ağır Ce"
358,27,Yargıtay,3,4150,2021,14733,2024-11-07,gebe+illiyet,gebe×2 | travma×35 | illiyet×27 | TCK 87/88,YARGITAY KARARI,"MAHKEMESİ: Sakarya Bölge Adliye Mahkemesi 2. Ceza Dairesi SAYISI: 2019/1742 E., 2020/312 K. İLK DERECE MAHKEMESİ: Kocaeli 5. Ağır Ceza Mahkemesi SAYISI: 2018/326 E, 2019/257 K. SUÇ: Anayasayı ihlal, Silahlı terör örgütüne üye olma, Suçluyu Kayırma, HÜKÜM:A) Anayasal düzeni ortadan kaldırmaya teşebbü"
359,27,Yargıtay,CG,412,2017,308,2021-06-24,gebe+travma,gebe×2 | travma×50 | illiyet×18 | TCK 87/88,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı: 400-447 Sanık ... hakkında maktul ...'e yönelik kasten öldürme suçundan açılan kamu davasında yapılan yargılama sonucunda, eyleminin kasten yaralama suçunu oluşturduğu kabul edilerek sanığın TCK’nın 86/1, 86/3-e, 29, 62, 53 v"
360,27,Yargıtay,CG,73,2016,40,2020-01-30,gebe+travma,gebe×25 | travma×27 | cenin/düşük | künt/batın,YARGITAY KARARI,"Kararı Veren Yargıtay Dairesi: 14. Ceza Dairesi Mahkemesi:Ağır Ceza Sayısı : 191-329 Cebir ve tehdit kullanarak çocuğun nitelikli cinsel istismarı suçundan sanık ...'nın TCK’nın 103/1-a, 103/2, 103/4, 103/6, 43/1, 53 ve 63. maddeleri uyarınca 18 yıl hapis; çocuğun nitelikli cinsel istismarı suçundan"
361,27,Yargıtay,CG,755,2016,454,2016-11-29,gebe+travma,gebe×6 | travma×18 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"Yargıtay Dairesi: 14. Ceza Dairesi Çocuğun nitelikli cinsel istismarı suçundan sanık ...'ın TCK'nun 103/2, 103/6, 43, 53 ve 63. maddeleri gereğince 18 yıl 4 ay hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin, Bursa 2. Ağır Ceza Mahkemesince verilen 02.10.2012 gün ve 127-320 "
362,27,Yargıtay,9,9110,2013,12351,2013-10-09,gebe+illiyet,gebe×2 | travma×49 | illiyet×21 | TCK 87/88,SİLAHLI TERÖR ÖRGÜTÜNE ÜYE OLMA SUÇU - HÜKÜMETİ CEBREN ISKAT VEYA VAZİFE GÖRMEKTEN CEBREN MEN ETME EYLEMİ - İTTİFAK SUÇU - PLAN SEMİNERİNE KATILAN SANIKLARIN HUKUKİ DURUMLARININ TESPİTİ - HÜKMÜN BOZUL,"(AİHS m. 5) (2709 S. K. m. 6, 14, 83, 112, 137, 142, 143, 145) (211 S. K. m. 8, 14, 16) (353 S. K. m. 9, 17) (5271 S. K. m. 8, 11, 127, 172, 206, 250) (3713 S. K. m. 3, 5, 10, 17) (357 S. K. m. 28) (2802 S. K. m. 2, Ek Geç. m. 2) (1632 S. K. m. 41, Ek m. 8) (1412 S. K. m. 394/A) (5320 S. K. m. 2) (6"
363,27,Yargıtay,CG,1-5,2020,376,2020-09-24,gebe+travma,gebe×2 | travma×97 | illiyet×10 | TCK 87/88,KASTEN ÖLDÜRME SUÇU - MAKTULDEN KAYNAKLANAN VE SANIĞA YÖNELEN HERHANGİ BİR HAKSIZ FİİL BULUNMAYAN OLAYDA SANIK HAKKINDA HAKSIZ TAHRİK HÜKMÜNÜN UYGULANMA KOŞULLARININ OLUŞMADIĞI - İTİRAZIN REDDİ,"(5237 S. K. m. 21, 23, 29, 53, 58, 63, 81, 86, 87) (5271 S. K. m. 308) &nbsp; Kasten öldürme suçundan sanık ...&#39;nın TCK&#39;nın 81/1, 53, 58 ve 63. maddeleri uyarınca müebbet hapis cezası ile cezalandırılmasına, hak yoksunluğuna, cezasının mükerrirlere özgü infaz rejimine göre çektirilmesine ve "
364,26.9,Yargıtay,16,5643,2019,7684,2019-12-10,gebe+illiyet,gebe×9 | travma×4 | illiyet×33 | TCK 87/88,YARGITAY KARARI,"Mahkemesi :Ceza Dairesi İlk Derece Mahkemesi : ... 17. Ağır Ceza Mahkemesinin 27.10.2017 tarih ve... sayılı kararı Suç: Anayasal düzeni ortadan kaldırmaya teşebbüs etme, Türkiye Cumhuriyeti Hükümetini ortadan kaldırmaya teşebbüs etme, Türkiye Büyük Millet Meclisini ortadan kaldırmaya teşebbüs etme, "
365,26.8,Yargıtay,CG,126,2021,617,2021-12-07,gebe+travma,gebe×30 | travma×125 | illiyet×4 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Sanık ... hakkında bilinçli taksirle bir kişinin ölümüne neden olma suçundan açılan kamu davasında yapılan yargılama sırasında, sanığın eyleminin kasten öldürme suçunu oluşturabileceği gerekçesiyle Bolvadin Asliye Ceza Mahkemesince verilen 16.10.2014 tarihli ve 435-272 sayılı görevsizlik kararı üzer"
366,26.8,Yargıtay,16,1950,2019,2164,2019-03-29,gebe+illiyet,gebe×13 | travma×3 | illiyet×46 | TCK 87/88,ANAYASAL DÜZENİ ORTADAN KALDIRMAYA TEŞEBBÜS SUÇU - SIKIYÖNETİM KOMUTANI OLARAK GÖREVLENDİRİLMİŞ OLAN SANIK – SANIĞIN SUÇA FAİL YA DA YARDIM EDEN SIFATIYLA İŞTİRAK ETTİĞİNE DAİR MAHKUMİYETİNE YETERLİ K,"(5271 S. K. m. 296, 299) (5237 S. K. m. 20, 37, 39, 40, 44, 168, 171, 220, 302, 309, 311, 312, 314, 315, 316) (765 S. K. m. 65, 146) (YCGK 23.11.1999 T. 1999/9-274 E. 1999/284 K.) (YCGK 09.02.2010 T. 2009/9-103 E. 2010/22 K.) (YCGK 19.10.2010 T. 2010/1-153 E. 2010/206 K.) (YCGK 20.01.2009 T. 2008/1-"
367,26.8,Yargıtay,3,5051,2023,740,2025-02-11,gebe+illiyet,gebe×20 | travma×3 | illiyet×10 | TCK 87/88,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 21. Hukuk Dairesi SAYISI: 2023/871 E., 2023/1302 K. İLK DERECE MAHKEMESİ: Aydın 2. Asliye Hukuk (Tüketici) Mahkemesi SAYISI: 2022/699 E., 2023/198 K. Bölge Adliye Mahkemesi kararı davalı .... vekili ile davalı ... Sağlık Hizmetleri A.Ş. vekili tarafından temyi"
368,26.7,Anayasa,2,6774,2015,,2019-03-20,gebe+travma,gebe×1 | travma×9 | illiyet×9 | cenin/düşük,ANAYASA MAHKEMESİNİN 20/3/2019 TARİHLİ VE 2015/6774 SAYILI KARARI (BİREYSEL BAŞVURU),"(2709 S. K. m. 5, 17) (5237 S. K. m. 83, 98) (5271 S. K. m. 231) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 18.09.2013 T. 2012/1017 E.) (ANY. MAH. 16.12.2015 T. 2013/6574 E.) (ANY. MAH. 21.04.2016 T. 2013/7832 E.) (ANY. MAH. 16.07.2014 T. 2013/6319 E.) &nbsp; *** İncelemekte olduğunuz karar Re"
369,26.7,Yargıtay,4,21165,2021,2427,2023-02-23,gebe+travma,gebe×3 | travma×2 | illiyet×5 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 4. Hukuk Dairesi SAYISI: 2019/852 E., 2021/1435 K. HÜKÜM/KARAR: İstinaf Başvurusunun Kabulü ile Davanın Reddine İLK DERECE MAHKEMESİ: Turgutlu 1. Asliye Hukuk Mahkemesi SAYISI: 2018/5 E., 2018/824 K. Taraflar arasındaki basın yoluyla kişilik haklarının ihlali "
370,26.5,Yargıtay,3,6488,2021,1606,2022-03-30,gebe+illiyet,gebe×1 | travma×25 | illiyet×18 | TCK 87/88,YARGITAY KARARI,İtiraz Eden : Yargıtay Cumhuriyet Başsavcılığı İtiraz Edilen Karar : Yargıtay 16. Ceza Dairesinin 14. 11.2019 tarih ve 2019/7943 - 2019/7266 sayılı kararı İtirazla İlgili Mahkeme Kararı: Akara Bölge Adliye Mahkemesi 4. Ceza Dairesinin 08.03.2019 tarih ve 2018/2213 - 2019/140 sayılı kararı İlk Derece
371,26.5,Yargıtay,CG,576,2019,212,2021-05-25,gebe+travma,gebe×1 | travma×165 | illiyet×10 | TCK 87/88,YARGITAY KARARI,"Kararı veren Yargıtay Dairesi: 1. Ceza Dairesi Mahkemesi:Ağır Ceza Kasten öldürme suçundan sanık ...'ın TCK’nın 81/1, 62, 53 ve 63. maddeleri uyarınca 25 yıl hapis cezası ile cezalandırılmasına, hak yoksunluğuna ve mahsuba ilişkin Antalya 3. Ağır Ceza Mahkemesince verilen 08.07.2015 tarihli, 22-247 "
372,26.5,Yargıtay,10,11430,2021,4995,2022-04-05,gebe+illiyet,gebe×1 | travma×5 | illiyet×11 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"Mahkemesi:İş Mahkemesi Dava, rücuan tazminat istemine ilişkindir. Mahkemece, bozma kararına uyularak ilamda belirtildiği şekilde davanın kısmen kabulüne karar verilmiştir. Hükmün, davacı Kurum ile davalı ... ve davalı ...-... Ticaret Merkezi vekilleri tarafından temyiz edilmesi üzerine, temyiz istek"
373,26.4,Yargıtay,21,13820,2016,3196,2018-04-02,gebe+illiyet,gebe×2 | travma×8 | illiyet×8 | TCK 87/88 | trafik/iş kaz,YARGITAY KARARI,"MAHKEMESİ: ... Mahkemesi Davacı, ... sonucu maluliyetinden doğan maddi ve manevi ...ın ödetilmesine karar verilmesini istemiştir. Mahkeme ilamında belirtildiği şekilde, isteğin reddine karar vermiştir. Hükmün davacı vekili tarafından temyiz edilmesi üzerine temyiz isteğinin süresinde olduğu anlaşıld"
374,26.4,Yargıtay,3,7473,2022,2150,2023-07-12,gebe+illiyet,gebe×20 | travma×5 | illiyet×7 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: Küçükçekmece 9. Asliye Hukuk Mahkemesi SAYISI: 2021/29 E., 2022/234 K. Taraflar arasındaki asıl dosyada maddi ve manevi tazminat, birleşen Küçükçekmece 1. Asliye Hukuk Mahkemesinin 2016/598 Esas sayılı dosyasında faiz, birleşen Küçükçekmece 1. Asliye Hukuk Mahkemesinin 2021/334 Esas sayıl"
375,26.3,Yargıtay,4,21160,2021,2425,2023-02-23,gebe+travma,gebe×1 | travma×3 | illiyet×5 | TCK 87/88 | cenin/düşük,YARGITAY KARARI,"MAHKEMESİ: İzmir Bölge Adliye Mahkemesi 4. Hukuk Dairesi SAYISI: 2019/898 E., 2021/1446 K. HÜKÜM/KARAR: İstinaf Başvurusunun Kabulü ile Davanın Reddine İLK DERECE MAHKEMESİ: Turgutlu 2. Asliye Hukuk Mahkemesi SAYISI: 2018/4 E., 2018/340 K. Taraflar arasındaki basın yoluyla kişilik haklarının ihlali "
376,26.3,Yargıtay,11,532,1988,1513,1988-02-19,gebe+illiyet,gebe×1 | travma×1 | illiyet×6 | TCK 87/88 | cenin/düşük,TAZMİNAT DAVASI - İHRACAT MEBLAĞININ ZAMANINDA GÖNDERİLMEMESİ SONUCU OLUŞAN ZARARI TAZMİNİ TALEBİ - UYUŞMAZLIĞI UZMANLIK GEREKTİRMESİ - YETERSİZ BİLİRKİŞİ RAPORUNA DAYANILARAK HÜKÜM KURULMAMASI GEREĞİ,(1086 S. K. m. 284) Dava: (M.B.) ile T.Garanti Bankası A.Ş. arasında çıkan davadan dolayı İstanbul Asliye 4. Ticaret Mahkemesince verilen hükmü onayan dairenin 4.11.1987 gün ve 3359-5888 sayılı ilamı aleyhinde davalı T.Garanti bankası A.Ş. vekili tarafından karar düzeltilmesi isteğinde bulunulmuş ol
377,26.3,Danıştay,1,545,2018,644,2018-04-24,gebe+illiyet,gebe×5 | travma×3 | illiyet×13 | cenin/düşük,MENİ MUHAKEME DAVASI - İLAÇ VE İZLEM UYGULAMALARINDA TIBBİ KUSUR VEYA İHMAL YAHUT UYGULAMA HATASI BULUNUP BULUNMADIĞI VE BU DURUMDAN KİMLERİN SORUMLULUĞU BULUNDUĞU HUSUSLARINI AYRINTILI OLARAK AÇIKLAY,"(2547 S. K. m. 53) (5271 S. K. m. 147, 233) &nbsp; Trakya Üniversitesi Rektörlüğünün 21.2.2018 tarih ve E.100791 sayılı yazısı ekinde gönderilen soruşturma dosyası ile yukarıda belirtilen Kurul kararı ve bu kararın lüzum-u muhakemeye ilişkin kısmına hakkında lüzum-u muhakeme kararı verilen ...., men"
378,26.2,Anayasa,1,17652,2017,,2020-12-15,gebe+illiyet,gebe×30 | travma×2 | illiyet×15 | TCK 87/88,ANAYASA MAHKEMESİNİN 15/12/2020 TARİHLİ VE 2017/17652 SAYILI KARARI (BİREYSEL BAŞVURU) ,"(2709 S. K. m. 5, 17) (6216 S. K. m. 50) (Anayasa Mahkemesi İçtüzüğü m. 79) (ANY. MAH. 20.04.2016 T. 2013/4086 E.) (ANY. MAH. 18.09.2013 T. &nbsp;2012/969 E.) (ANY. MAH. 17.09.2013 T. 2012/752 E.) (ANY. MAH. 03.04.2014 T. 2013/2839 E.) (ANY. MAH. 30.10.2018 T. 2015/3640 E.) (ANY. MAH. 16.07.2014 T. "
379,26.2,Anayasa,2,12621,2021,,2024-09-18,gebe+illiyet,gebe×28 | travma×2 | illiyet×12 | TCK 87/88,ANAYASA MAHKEMESİNİN 18/9/2024 TARİHLİ VE 2021/12621 SAYILI KARARI (BİREYSEL BAŞVURU),(2709 S. K. m. 17)(ANY. MAH. 27.04.2023 T. 2022/100837 E.)(ANY. MAH. 15.10.2015 T. 2013/2084 E.) (ANY. MAH. 09.09.2015 T. 2013/1943 E.)(ANY. MAH. 14.04.2016 T. 2013/8147 E.)(ANY. MAH. 18.09.2013 T. 2012/969 E.)(ANY. MAH. 07.11.2019 T. 2016/12506 E.)(ANY. MAH. 21.01.2021 T. 2020/32949 E.) (ANY. MAH. 
